id,type,scenarioType,learningObjectives,order,text,trustLabel,distrustLabel,image,trustChoice.consequences,trustChoice.feedback,distrustChoice.consequences,distrustChoice.feedback,overlayContent,minScore,maxScore,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15
2,story,,,3,It sounds like it could be a good deal...,Check it out!,I like deals...,,,,,,,,,,,,,,,,,,,
2,story,,,4,"First, you check who's sending this to you.",Let's see...,Who is it?,/images/2-3.jpg,,,,,,,,,,,,,,,,,,
2,story,,,5,Then you examine the body of the email.,Seems interesting.,Hmm...,/images/2-4.jpg,,,,,,,,,,,,,,,,,,
2,story,,,6,"Finally, look at the offer and the signature.",Sounds appealing...,Tempting...,/images/2-5.jpg,,,,,,,,,,,,,,,,,,
2,decision,,,7,Should you trust this offer?,I want books!,This isn't right!,/images/2-6.jpg,,It's worrying when you crack open the dusty .pdf of 'Key Study Habits for Sucess.' \n\n It's just a single paged document listing out 3 study habits: \n\n 1. Studie with TV on. 2. Pcrorastinate until the last minnit. 3. Skip brekfast.,1,"You report it to ITS as a phishing attempt and are thanked for your report. \n\n You worry you'll have to find ""10,000's"" of books elsewhere, but you remember you can go to the library!",scenario-02.md,,,,,,,,,,,,,
2,reveal,,,8,,Wow!,Let's go!,,,,,,,,,,,,,,,,,,,
2,scenario,regular,"If an offer looks too good to be true, it probably is!",,,,,,,,,,,,,,,,,,,,,,,
3,story,,,1,You're taking a walk around campus enjoying the fresh air when you get a call from Sammy!,Fresh!,Smells nice.,,,,,,,,,,,,,,,,,,,
3,story,,,2,"""I'm planning a weekend getaway with my friends!"" Sammy exclaims.",Sounds expensive!,I want to go!,,,,,,,,,,,,,,,,,,,
3,story,,,3,"""We were looking for a cool AirBnB, but found this site with amazing discounts!",A deal?,What site?,,,,,,,,,,,,,,,,,,,
3,story,,,4,They send you the link.,Take a closer look.,Let's see...,,,,,,,,,,,,,,,,,,,
3,story,,,5,You take a good look at the website...,Hmm...,What's this?,/images/3-5.jpg,,,,,,,,,,,,,,,,,,
3,decision,,,6,"""Should I go ahead and book it? What do you think?""",Looks good to me,I don't trust it,/images/3-6.jpg,,"After booking, Sammy receives an email saying there's an issue with their payment. \n\n They're starting to wonder if it was a good idea after all...",1,You point out the red flags to Sammy. \n\n They're glad they asked you instead of trying to save some money and they thank you for your help.,scenario-03.md,,,,,,,,,,,,,
3,reveal,,,7,,Got it,Good to go,,,,,,,,,,,,,,,,,,,
3,scenario,regular,"Inconsistent language, unprofessional layouts, spelling mistakes, and an artificial sense of urgency are all red flags in a phishing scam!",,,,,,,,,,,,,,,,,,,,,,,
4,story,,,1,"You and Sammy are standing outside Starbucks, looking into the windows to see if it's almost ready to re-open.",Peek inside...,Can you see?,,,,,,,,,,,,,,,,,,,
4,story,,,2,"""I've been meaning to ask you! Have you set up MFA on your account yet?"" questions Sammy.",Not yet. Why?,I haven't...,,,,,,,,,,,,,,,,,,,
4,story,,,3,"""I think it's pretty cool cause it adds an extra layer of security. \n\n Even if someone gets your password, they still need a second factor to access your account.""",Sounds important...,I see,,,,,,,,,,,,,,,,,,,
4,story,,,4,"""You should always check the location before approving any MFA requests and make sure it's really you!""",Good idea,Smart!,/images/4-4.jpg,,,,,,,,,,,,,,,,,,
4,story,,,5,"Later, you're working in the library and logging into your student account. \n\n You get an MFA prompt!",Check the location...,Is this me?,,,,,,,,,,,,,,,,,,,
4,decision,,,6,Should you approve the login attempt?,Approve it,Deny!,/images/4-6.jpg,1,Nice job checking the location! You feel reassured knowing your account is protected with MFA.,,"You hesitate to approve the login attempt, unsure if it's really you. Have you ever really been you?",scenario-04.md,,,,,,,,,,,,,
4,reveal,,,7,,I see,Got it,,,,,,,,,,,,,,,,,,,
4,scenario,mfa,"Make sure you're you when responding to MFA requests! \n\n Always check before you tap! If you didn’t attempt to login, deny 
the request!",,,,,,,,,,,,,,,,,,,,,,,
5,story,,,1,One of the best features of Seneca Polytechnic's campus is how it has its own Starbucks!,The best!,Love it here,,,,,,,,,,,,,,,,,,,
5,story,,,2,You read all about it in the amenties list for the campus.,GIMME CAFFEINE,Mmmmm!,,,,,,,,,,,,,,,,,,,
5,story,,,3,But you're dismayed that it's closed for renovations,Oh no…,Why???,,,,,,,,,,,,,,,,,,,
5,story,,,4,There's a sign taped to the door.,What could they have to do!?,I dont get it,,,,,,,,,,,,,,,,,,,
5,story,,,5,There's a QR code on it! It leads to a MySeneca URL.,Okay…,Check it out,/images/5-6.jpg,,,,,,,,,,,,,,,,,,
5,story,,,6,There's a post! Let's read on...,Keep looking…,Okay...,/images/5-7.jpg,,,,,,,,,,,,,,,,,,
5,decision,,,7,Is this a trusted source for this information?,I believe it,This is fake!,/images/5-8.jpg,1,"Sounds like you'll have to go somewhere else for your caffeine fix, but it's hopefully coming back soon.",,Unfortunately the doors are locked. Looks like you better be looking for refreshments elsewhere.,scenario-05.md,,,,,,,,,,,,,
5,reveal,,,8,,I see,Got it,,,,,,,,,,,,,,,,,,,
5,scenario,regular,"Always double-check a website's legtitimacy 
before entering info - don't get caught by scams!",,,,,,,,,,,,,,,,,,,,,,,
6,story,,,1,"You're enjoying your morning outside, daydreaming about visiting Starbucks, when Sammy flies by.",Relax and wait...,Nice clouds,,,,,,,,,,,,,,,,,,,
6,story,,,2,"""Did you see the posters? We're hosting an interschool basketball tournament!""",Tell me more!,What!,,,,,,,,,,,,,,,,,,,
6,story,,,3,"""We have to go! I used to play, back in the day, you know!""",Of course!,Me too,,,,,,,,,,,,,,,,,,,
6,story,,,4,"""But there's a problem... I tried to get tickets from this site that I found, and my card isn't working!""",Oh no...,Why not?,,,,,,,,,,,,,,,,,,,
6,story,,,5,"""Can you help me get them? Please, I don't want to miss this!"" Sammy pleads.",Let me check it out...,Hmm...,,,,,,,,,,,,,,,,,,,
6,story,,,6,Sammy sends you the website and you open it up on your phone.,Okay…,Let's see...,/images/6-6.jpg,,,,,,,,,,,,,,,,,,
6,story,,,7,Let's take a look at this webpage,Keep looking…,Look closely,/images/6-7.jpg,,,,,,,,,,,,,,,,,,
6,decision,,,8,Do you buy the tickets?,Gotta see the game!,I don't like this...,/images/6-8.jpg,,"You check out and are promised the hand delivery. \n\n You're advised to stay on campus, otherwise they wont be able to find you, but no one ever arrives.",1,Sammy discovers that you can just get tickets at a table by the gym and says they'll get you a ticket as thanks for helping them out.,scenario-06.md,,,,,,,,,,,,,
6,reveal,,,9,,I see,Got it,,,,,,,,,,,,,,,,,,,
6,scenario,regular,Phishing scams often request much more information than a typical transaction or information request would require. Be on the look out!,,,,,,,,,,,,,,,,,,,,,,,
7,story,,,1,"You're sitting out on the grass, sipping your coffee and catching up on some reading when Sammy calls you.",Enjoy the moment...,Mmm coffee,,,,,,,,,,,,,,,,,,,
7,story,,,2,"""Guess what! The Raptors are playing back-to-back home games!""",Really?,Raptors?!,,,,,,,,,,,,,,,,,,,
7,story,,,3,"""I got an email from my Raptors fan community with an exclusive link for Seneca Polytechnic students discount tickets!""",Sounds awesome!,Woah!,,,,,,,,,,,,,,,,,,,
7,story,,,4,"""I'm so excited, but also a little nervous...""",Why's that?,What for?,,,,,,,,,,,,,,,,,,,
7,story,,,5,"""It opens a link asking for my student ID and credit card info. Do you think it's ok?"" Sammy asks nervously.",Let's look together.,Show me!,,,,,,,,,,,,,,,,,,,
7,story,,,6,Take a look at the URL,Okay...,Hmm,/images/7-6.jpg,,,,,,,,,,,,,,,,,,
7,story,,,7,"Next, we're going to look at the webpage.",Keep looking…,Okay...,/images/7-7.jpg,,,,,,,,,,,,,,,,,,
7,decision,,,8,Should Sammy trust the site?,Yes! Let's get tickets!,Maybe we shouldn't,/images/7-8.jpg,1,"You and Sammy get front row tickets. Sammy's so excited, they say they wont sleep for weeks.",,Sounds worrying so you decide not to go. \n\n But you can't help but wonder if those games will be the biggest games of the season…,scenario-07.md,,,,,,,,,,,,,
7,reveal,,,9,,I see,Got it,,,,,,,,,,,,,,,,,,,
7,scenario,regular,"Always double-check a website's legtitimacy 
before entering info - don't get caught by scams!",,,,,,,,,,,,,,,,,,,,,,,
8,story,,,1,You're the only one in the Computing Commons this morning. You can't wait until Starbucks reopens for morning coffee!,Enjoy the quiet…,Enjoy the quiet!,,,,,,,,,,,,,,,,,,,
8,story,,,2,"""Ah! Oh! I'm so glad you're here!"" Sammy says, suddenly appearing.",Did something happen?,Hey Sammy!,,,,,,,,,,,,,,,,,,,
8,story,,,3,"""I just got an email that says Security Team Alpha detected suspicious activity using my student ID!""",Oh no…,Suspicious?,,,,,,,,,,,,,,,,,,,
8,story,,,4,"""They're gonna lock my account if I don't verify my identity...That can't be good!"" Sammy says wide-eyed.",…verify?,That's bad,,,,,,,,,,,,,,,,,,,
8,story,,,5,"""I'm me, the one and only Sammy! Could you watch my things while I go and sort this out?""",Show me the email!,Hold on!,,,,,,,,,,,,,,,,,,,
8,story,,,6,The first thing we're going to look at is the header.,Let's keep reading…,What's this?,/images/8-6.jpg,,,,,,,,,,,,,,,,,,
8,story,,,7,"Next, we're going to look at the email's body.",Keep looking…,Huh...,/images/8-7.jpg,,,,,,,,,,,,,,,,,,
8,story,,,8,"Finally, we're going to look at the email's call to action and signature.",Okay...,Hmm…,/images/8-8.jpg,,,,,,,,,,,,,,,,,,
8,decision,,,9,Is this email legit?,Looks like the real deal!,Something's not right!,/images/8-9.jpg,,It asks for 3 different forms of ID!\n\n Sammy heads to the library to scan their cards and you make sure their things don't move an inch while they're gone.,1,It wants 3 different forms of ID!\n\n You warn Sammy that this is likely a scam. \n\n They're relieved for your help.,scenario-08.md,,,,,,,,,,,,,
8,reveal,,,10,,I see,Got it,,,,,,,,,,,,,,,,,,,
8,scenario,regular,"Don't spill your personal info via email or phone without security 
checks like PINs, institutional portals or other protective measures! Always 
double-check who's asking before you share",,,,,,,,,,,,,,,,,,,,,,,
9,story,,,1,"You're holed up in the library, surrounded by books.",Hard working!,I'm tired,,,,,,,,,,,,,,,,,,,
9,story,,,2,"Deep into your research for a paper, your open tabs are all important articles, except for your email.",Take a break!,Check it!,,,,,,,,,,,,,,,,,,,
9,story,,,3,"You decide to take a peek, but you didn't expect to see this!",It looks urgent...,Oh my...,,,,,,,,,,,,,,,,,,,
9,story,,,4,This email looks really important.,This is bad...,Scary!,/images/9-4.jpg,,,,,,,,,,,,,,,,,,
9,story,,,5,Keep reading?,Okay...,I'm looking...,/images/9-5.jpg,,,,,,,,,,,,,,,,,,
9,decision,,,6,Should you download the fix?,Download it!,No! This is bad!,/images/9-6.jpg,,You download the fix as requested. \n\n Your computer starts acting really weird...!,1,"You report the email to ITS, who confirms it was a phishing attempt. \n\n Your caution pays off!\n\n IT sends out a security notice to better detect such phishing attempts in the future.",scenario-09.md,,,,,,,,,,,,,
9,reveal,,,7,,I see,Got it,,,,,,,,,,,,,,,,,,,
9,scenario,regular,"Be on the look out for urgent, invasive demands to install software on your computer that doesn't come from Seneca Polytechnic IT!",,,,,,,,,,,,,,,,,,,,,,,
10,story,,,1,You're working late in the study lounge getting some last minute things done before you go home.,Gotta finish...,So late!,,,,,,,,,,,,,,,,,,,
10,story,,,2,You get an email asking you participate in an official Polytechnic survey about student life. \n\n You've gotten three of these this week!,I have opinions...,No inbox space!,,,,,,,,,,,,,,,,,,,
10,story,,,3,I guess it could be worth it to check out.,Let's see about this…,Ok fine...,,,,,,,,,,,,,,,,,,,
10,story,,,4,Let's start by examining the email's header.,Let's keep reading…,I get it,/images/10-4.jpg,,,,,,,,,,,,,,,,,,
10,story,,,5,"Next up, we'll focus on the email's message.",Keep looking…,Okay...,/images/10-5.jpg,,,,,,,,,,,,,,,,,,
10,story,,,6,"Finally, let's look at the email's call to action and signature.",Hmm…,Alright,/images/10-6.jpg,,,,,,,,,,,,,,,,,,
10,decision,,,7,Is this email legit?,Give my feedback!,They want my thoughts?,/images/10-7.jpg,1,You get a sweet $10 campus store gift card.,,"You receive an email thanking you for your vigilance in identifying phishing scams, but remember, phishing emails often request sensitive information, which Seneca Polytechnic will never do!",scenario-10.md,,,,,,,,,,,,,
10,reveal,,,8,,I see,Got it,,,,,,,,,,,,,,,,,,,
10,scenario,regular,Some phishing scams can be very sophisticated in their appearance and language. But official polytechnic correspondence will never ask for personal information via email.,,,,,,,,,,,,,,,,,,,,,,,
11,story,,,1,Your computer's going into red alert mode!!! \n\n There's a flashing software update message for your polytechnic approved anitvirus software!,What's going on?!,Aaa!!!,,,,,,,,,,,,,,,,,,,
11,story,,,2,You're unsure whether to trust it.,Call for help?,"Please, help!",,,,,,,,,,,,,,,,,,,
11,story,,,3,You call the IT service desk for help and they ask you bring your computer in.,Head to IT Service Desk,Let's go!,,,,,,,,,,,,,,,,,,,
11,story,,,4,"""Hey there! Let's see what's going on with your computer,"" a friendly IT services employee offers.",Explain the issue,Show them,,,,,,,,,,,,,,,,,,,
11,story,,,5,"""Ah, yes! We saw this warning issued on the anitvirus software vendor's web site.""",Tell me more,Oh yeah?,,,,,,,,,,,,,,,,,,,
11,story,,,6,"""We reviewed it and sent out a Polytechnic-wide notice recommeding to install the update.""",Lemmie think...,Oh...,,,,,,,,,,,,,,,,,,,
11,decision,,,7,Is this update legit?,Looks like the real deal!,Something's not right!,,1,You decide to trust their advice and install the update. You feel secure knowing your system is protected.,,"Sure, it sounds critical, but it can't actually be that critical. It can wait!",scenario-11.md,,,,,,,,,,,,,
11,reveal,,,8,,I see,Got it,,,,,,,,,,,,,,,,,,,
11,scenario,regular,Seneca Polytechnic IT notices to update software and security procedures should be acted upon in a timely manner to protect staff and students alike! ,,,,,,,,,,,,,,,,,,,,,,,
12,story,,,1,You're researching at the library and get a frantic text from Sammy.,What's happening?,Nice book smell,,,,,,,,,,,,,,,,,,,
12,story,,,2,"""AAA DONT CLIKC FOR FREE FLOPWERS!!!""",What??,Sorry???,,,,,,,,,,,,,,,,,,,
12,story,,,3,You rush to find Sammy. They look desperate and worried about their computer.,What's wrong?,Hey Sammy,,,,,,,,,,,,,,,,,,,
12,story,,,4,"""All I did was click a link to get free flowers and now my computer's locked!""",Let's get help!,Come with me,,,,,,,,,,,,,,,,,,,
12,story,,,5,You take Sammy to the IT service desk to check over their computer.,Explain the situation,Show them,,,,,,,,,,,,,,,,,,,
12,story,,,6,"""Oh my, Sammy, this looks like ransomware!"" the IT service staff quickly assess.",What can we do?,Ransom!?,,,,,,,,,,,,,,,,,,,
12,story,,,7,"""We can try to fix it, but Sammy you need to be careful with suspicious emails!""",Thank you!,Wow!,,,,,,,,,,,,,,,,,,,
12,story,,,8,"As ITS work on Sammy's computer, you receive a notification. It's the same email Sammy received!",Show them,Get their attention,,,,,,,,,,,,,,,,,,,
12,story,,,9,"""Since you're already here, let's walk through it together"", an ITS staff member suggests.",Read the email.,Okay,,,,,,,,,,,,,,,,,,,
12,story,,,10,"Hmm. Now, let's look at the body.",Okay...,Keep reading...,/images/12-10.jpg,,,,,,,,,,,,,,,,,,
12,story,,,11,"""I can see how Sammy was fooled,"" frowns the ITS staff member.",Me too...,Hmm...,,,,,,,,,,,,,,,,,,,
12,decision,,,12,What do you think about this offer?,It could be legit..,So suspicious!,/images/12-12.jpg,,"""You should be wary about offers that sound too good to be true. \n\n Also you knew it locked Sammy's computer! Don't let yourself get tricked!""",1,"""That's right!"" the ITS staff member nods, ""If an offer sounds too good to be true, it probably is!""",scenario-12.md,,,,,,,,,,,,,
12,reveal,,,13,,I see,Got it,,,,,,,,,,,,,,,,,,,
12,scenario,regular,"Ransomware is a serious threat that could seriously affect your life, along with anyone associated with the polytechnic.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,scenario,regular,,,,,,,,,,,,,,,,,,,,,,,,
14,story,,,1,You find Sammy buzzing with excitement in the library.,"What's up, Sammy?",Hey Sammy!,,,,,,,,,,,,,,,,,,,
14,story,,,2,"""I just got a really cool email!"" Sammy says, barely containing themselves.",Oh yeah?,Did you?,,,,,,,,,,,,,,,,,,,
14,story,,,3,"""They're looking for baristas for the re-opening of Starbucks!""","What, really?",Mm cake..,,,,,,,,,,,,,,,,,,,
14,story,,,4,"""No experience necessary, all the snacks and coffee you can handle, extended health insurance included!""",Me too!,Hmm...,,,,,,,,,,,,,,,,,,,
14,story,,,5,You ask to take a look at that email...,I wanna see.,Can I look?,/images/14-5.jpg,,,,,,,,,,,,,,,,,,
14,story,,,6,Hmm... Let's keep reading.,Okay…,Alright,/images/14-6.jpg,,,,,,,,,,,,,,,,,,
14,decision,,,7,Interesting... What do you tell Sammy?,Sign me up too!,This doesn't look right!,/images/14-7.jpg,,"Sammy arrives later to the job, only to find Starbucks still closed.",1,Sammy decides to distrust the email after you point out the red flags and reports it to ITS. \n\n They send out a warning to all students about the scam.,scenario-14.md,,,,,,,,,,,,,
14,reveal,,,8,,I see,Got it,,,,,,,,,,,,,,,,,,,
14,scenario,regular,Student job scams are a common phishing scheme that aim to extract sensitive information and exploit bad security habits.,,,,,,,,,,,,,,,,,,,,,,,
15,story,,,1,You're working late into the night in the quiet library.,Gotta finish!,Soo tired...,,,,,,,,,,,,,,,,,,,
15,story,,,2,Only the sound of your focused typing fills the air.,Keep typing,Gotta type,,,,,,,,,,,,,,,,,,,
15,story,,,3,"Suddenly, your bladder reminds you it's been a while since you've used the washroom.",What's that?,A sound?,,,,,,,,,,,,,,,,,,,
15,story,,,4,You take a quick look around the room.,What could it be?,Is it rain?,,,,,,,,,,,,,,,,,,,
15,story,,,5,It doesn't seem like anybody is here.,Go check!,Kinda chilly,,,,,,,,,,,,,,,,,,,
15,decision,,,6,Do you trust the library is empty and leave your laptop unlocked?,I can leave it unlocked,I should lock it,,,"You leave your laptop unlocked and head to the washroom. \n\n When you return, you find your laptop screen showing an unfamiliar web page! Someone used your laptop!",1,"You lock your laptop and head to the washroom. \n\n On your way out, you see there are some other students around in different corners of the library.\n\n It's better to be safe than sorry!",scenario-15.md,,,,,,,,,,,,,
15,reveal,,,7,,I see,Got it,,,,,,,,,,,,,,,,,,,
15,scenario,regular,"If you absolutely have to leave your laptop or phone unattended, it's critical you secure it with a password to avoid access while you're away!",,,,,,,,,,,,,,,,,,,,,,,
16,story,,,1,"You're preparing for an exam, surrounded by textbooks, notes, and a rainbow of highlighters.",Gotta prep!,Highlight everything,,,,,,,,,,,,,,,,,,,
16,story,,,2,"""I'm glad I found you! You'll never believe it!!!"" Sammy appears in front of you, full of energy!","What's up, Sammy?",Oh hi!,,,,,,,,,,,,,,,,,,,
16,story,,,3,"""This email says I'm getting the Diploma-to-Degree scholarship!""",Congrats!,"Woah, amazing!",,,,,,,,,,,,,,,,,,,
16,story,,,4,"""But isn't it a little suspicious to get emails like this?"" Sammy asks, worried.",You said it...,"Yeah, I suppose",,,,,,,,,,,,,,,,,,,
16,story,,,5,"""Can you take a look at it for me?"" Sammy gently pleads.",Okay!,I can look,,,,,,,,,,,,,,,,,,,
16,story,,,6,First we'll look at the header.,Keep reading...,Scanning...,/images/16-6.jpg,,,,,,,,,,,,,,,,,,
16,story,,,7,Next we'll look at the body.,Keep reading...,Let's think...,/images/16-7.jpg,,,,,,,,,,,,,,,,,,
16,decision,,,8,Should you tell Sammy to trust or distrust the email?,I'd trust it,"No, it's a scam!",/images/16-8.jpg,1,Sammy visits the Office of the Registrar and receives their scholarship. They thank you for helping them make the right choice.,,"Sammy hesitates to claim their scholarship, worried it might be a scam. They really could have used the financial assistance…",scenario-16.md,,,,,,,,,,,,,
16,reveal,,,9,,I see,Got it,,,,,,,,,,,,,,,,,,,
16,scenario,regular,"Review communications for official logos, links to trusted domains, and policies that are consistent with polytechnic security processes.",,,,,,,,,,,,,,,,,,,,,,,
17,story,,,1,You and Sammy are taking a kickboxing class together.,Oof!,Pow!,,,,,,,,,,,,,,,,,,,
17,story,,,2,You're just getting into it when you get a notification on your phone.,Take a look,What's this?,,,,,,,,,,,,,,,,,,,
17,decision,,,3,"Your location shows as: ""Spooky"" Library",Approve!,Deny!,/images/17-3.jpg,,"Wait, you're not at the ""spooky"" library... are you?",1,"Good job! Your kickboxing class is definitely not in some ""spooky"" library... You'd know!",scenario-17.md,,,,,,,,,,,,,
17,reveal,,,4,,,,,,,,,,,,,,,,,,,,,,
17,scenario,mfa,"MFA authorization can provide clues to the veracity of the request, including location info from your mobile phone!",,,,,,,,,,,,,,,,,,,,,,,
18,story,,,1,You and Sammy are watching the sunset at the end of a long day on campus.,Look at that sun!,Take in the breeze,,,,,,,,,,,,,,,,,,,
18,story,,,2,"When you go to log in to your email, you get an alert.",What's this?,Just checking!,,,,,,,,,,,,,,,,,,,
18,decision,,,3,Your location shows as: Outside Seneca Polytechnic,Approve!,Deny!,/images/18-3.jpg,1,"You watch the rest of the sunset, confident you made the right choice.",,"You could've approved it. It was you logging in, after all, but maybe the sun's glare made you hit the wrong button.",scenario-18.md,,,,,,,,,,,,,
18,reveal,,,4,,,,,,,,,,,,,,,,,,,,,,
18,scenario,mfa,"MFA authorization can provide clues to the veracity of the request, including location info from your mobile phone!",,,,,,,,,,,,,,,,,,,,,,,
19,story,,,1,"You're listening to a guest lecture by a researcher from the UBC marine biologist faculty, Dr. Auger-Méthé.","I see, I see",Tell me more,,,,,,,,,,,,,,,,,,,
19,story,,,2,You get an alert on your phone that someone's trying to log in as you.,Why now?,Okay...,,,,,,,,,,,,,,,,,,,
19,decision,,,3,Your location shows as: Ched's Grocer,Approve!,Deny!,/images/19-3.jpg,,Oh no! You're not at Ched's Grocer! That's halfway across town!,1,"You're right! You're on campus, not at Ched's Grocer! Phew.",scenario-19.md,,,,,,,,,,,,,
19,reveal,,,4,,,,,,,,,,,,,,,,,,,,,,
19,scenario,mfa,"MFA authorization can provide clues to the veracity of the request, including location info from your mobile phone!",,,,,,,,,,,,,,,,,,,,,,,
20,story,,,1,You've been napping all afternoon at the library on campus. You found a nice spot on top of the shelves.,It's peaceful!,No one's here!,,,,,,,,,,,,,,,,,,,
20,story,,,2,Your phone buzzes with an alert that almost knocks you off your shelf.,Powerful!,Volume down!,,,,,,,,,,,,,,,,,,,
20,decision,,,3,Your location shows as: The Library,Approve!,Deny!,/images/20-3.jpg,1,"Good job! You're definitely in the library, sleeping between Canadian Studies and Cognitive Science.",,"Wait a sec, did that say the library? Whoops!",scenario-20.md,,,,,,,,,,,,,
20,reveal,,,4,,,,,,,,,,,,,,,,,,,,,,
20,scenario,mfa,"MFA authorization can provide clues to the veracity of the request, including location info from your mobile phone!",,,,,,,,,,,,,,,,,,,,,,,
